country,year,month,lat,lon,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
Puerto Rico [United States],1997,11,18.4325,-66.0108,27.175000000000004,30.366666666666667,23.983333333333317,5.776666666666667,0.0,0.0
Puerto Rico [United States],1997,12,18.4325,-66.0108,26.714516129032262,30.58387096774194,22.845161290322576,0.8354838709677419,0.0,0.0
Puerto Rico [United States],1998,1,18.4325,-66.0108,25.940322580645173,29.322580645161295,22.558064516129026,5.974193548387098,0.0,0.0
Puerto Rico [United States],1998,2,18.4325,-66.0108,25.953571428571422,29.399999999999995,22.50714285714286,3.378571428571429,0.0,0.0
Puerto Rico [United States],1998,3,18.4325,-66.0108,25.635483870967747,29.041935483870965,22.229032258064525,2.8580645161290317,0.0,0.0
Puerto Rico [United States],1998,4,18.4325,-66.0108,26.60666666666668,29.566666666666663,23.346666666666657,3.509999999999999,0.0,0.0
Puerto Rico [United States],1998,5,18.4325,-66.0108,27.709677419354826,30.809677419354845,24.306451612903224,3.009677419354838,0.0,0.0
Puerto Rico [United States],1998,6,18.4325,-66.0108,28.51333333333332,31.653333333333347,25.11666666666667,2.7533333333333325,0.0,0.0
Puerto Rico [United States],1998,7,18.4325,-66.0108,28.28064516129031,31.406451612903236,24.854838709677416,5.88709677419355,0.0,0.0
Puerto Rico [United States],1998,8,18.4325,-66.0108,28.877419354838693,32.006451612903234,25.42258064516129,6.396774193548388,0.0,0.0
Puerto Rico [United States],1998,9,18.4325,-66.0108,28.303333333333327,31.43333333333334,24.913333333333334,8.870000000000001,0.0,0.0
Puerto Rico [United States],1998,10,18.4325,-66.0108,28.02258064516128,31.016129032258068,24.738709677419347,5.590322580645161,0.0,0.0
Puerto Rico [United States],1998,11,18.4325,-66.0108,26.89666666666668,29.80999999999999,23.639999999999997,5.706666666666666,0.0,0.0
Puerto Rico [United States],1998,12,18.4325,-66.0108,26.016129032258075,28.612903225806438,23.087096774193547,6.545161290322581,0.0,0.0
Puerto Rico [United States],1999,1,18.4325,-66.0108,25.04516129032258,27.974193548387095,21.8483870967742,2.6516129032258062,0.0,0.0
Puerto Rico [United States],1999,2,18.4325,-66.0108,24.217857142857135,27.67499999999999,20.507142857142863,2.4857142857142853,0.0,0.0
Puerto Rico [United States],1999,3,18.4325,-66.0108,25.54516129032259,29.01612903225806,21.70967741935484,0.6161290322580646,0.0,0.0
Puerto Rico [United States],1999,4,18.4325,-66.0108,25.11666666666667,30.02,22.749999999999996,2.1466666666666665,0.0,0.0
Puerto Rico [United States],1999,5,18.4325,-66.0108,28.129032258064502,31.60967741935485,24.348387096774196,3.2741935483870956,0.0,0.0
Puerto Rico [United States],1999,6,18.4325,-66.0108,27.859999999999992,31.00000000000001,24.633333333333336,4.696666666666668,0.0,0.0
Puerto Rico [United States],1999,7,18.4325,-66.0108,27.632258064516115,30.580645161290327,24.374193548387098,4.764516129032257,0.0,0.0
Puerto Rico [United States],1999,8,18.4325,-66.0108,28.319354838709664,31.448387096774205,24.906451612903222,6.022580645161291,0.0,0.0
Puerto Rico [United States],1999,9,18.4325,-66.0108,28.48333333333333,31.79,24.92333333333333,4.929999999999999,0.0,0.0
Puerto Rico [United States],1999,10,18.4325,-66.0108,27.58387096774193,30.603225806451626,24.319354838709664,6.054838709677419,0.0,0.0
Puerto Rico [United States],1999,11,18.4325,-66.0108,26.656666666666677,29.48,23.59,8.336666666666668,0.0,0.0
Puerto Rico [United States],1999,12,18.4325,-66.0108,25.111290322580647,27.39354838709677,22.454838709677418,5.038709677419353,0.0,0.0
United States,1970,1,30.6794,-88.2397,7.190322580645162,11.806451612903224,2.574193548387097,3.164516129032258,0.0,0.0
United States,1970,2,30.6794,-88.2397,10.755357142857141,17.439285714285717,4.071428571428572,4.828571428571428,0.0,0.0
United States,1970,3,30.6794,-88.2397,15.067741935483873,19.887096774193548,10.248387096774195,7.0451612903225795,0.0,0.0
United States,1970,4,30.6794,-88.2397,22.18166666666666,27.67666666666667,16.68666666666667,1.4133333333333336,0.0,0.0
United States,1970,5,30.6794,-88.2397,24.01290322580645,29.693548387096776,18.332258064516132,7.241935483870969,0.0,0.0
United States,1970,6,30.6794,-88.2397,26.786666666666665,31.886666666666663,21.686666666666664,6.503333333333334,0.0,0.0
United States,1970,7,30.6794,-88.2397,28.311290322580643,33.203225806451606,23.41935483870967,7.535483870967741,0.0,0.0
United States,1970,8,30.6794,-88.2397,28.333870967741937,32.42903225806451,24.23870967741934,7.53225806451613,0.0,0.0
United States,1970,9,30.6794,-88.2397,27.556666666666676,32.64,22.473333333333333,2.1733333333333333,0.0,0.0
United States,1970,10,30.6794,-88.2397,21.38548387096774,26.574193548387097,16.19677419354839,4.67741935483871,0.0,0.0
United States,1970,11,30.6794,-88.2397,13.260000000000002,19.716666666666665,6.803333333333334,1.3066666666666669,0.0,0.0
United States,1970,12,30.6794,-88.2397,14.077419354838707,20.032258064516128,8.12258064516129,4.732258064516127,0.0,0.0
United States,1971,1,30.6794,-88.2397,12.033870967741937,17.429032258064517,6.638709677419354,1.7645161290322577,0.0,0.0
United States,1971,2,30.6794,-88.2397,12.339285714285714,18.432142857142857,6.246428571428571,6.489285714285715,0.0,0.0
United States,1971,3,30.6794,-88.2397,15.498387096774193,21.383870967741938,9.612903225806452,5.322580645161289,0.0,0.0
United States,1971,4,30.6794,-88.2397,19.918333333333333,26.40666666666666,13.43,0.8366666666666667,0.0,0.0
United States,1971,5,30.6794,-88.2397,22.76290322580645,28.422580645161293,17.103225806451615,2.587096774193548,0.0,0.0
United States,1971,6,30.6794,-88.2397,28.004999999999995,33.95999999999999,22.05,2.4399999999999995,0.0,0.0
United States,1971,7,30.6794,-88.2397,27.904838709677417,32.34516129032258,23.46451612903225,6.354838709677419,0.0,0.0
United States,1971,8,30.6794,-88.2397,27.783870967741933,32.2,23.36774193548386,8.574193548387095,0.0,0.0
United States,1971,9,30.6794,-88.2397,26.375,30.43666666666667,22.31333333333334,6.1866666666666665,0.0,0.0
