,Year,Month,AvgDryBulbTemp_Cincinnati,MinDryBulbTemp_Cincinnati,MaxDryBulbTemp_Cincinnati,DECADE
494,1989,3,280.16015531660685,265.3722222222222,299.26111111111106,1980
495,1989,4,284.6536315870816,268.15,302.0388888888889,1980
496,1989,5,288.8631123058542,274.26111111111106,303.7055555555555,1980
497,1989,6,294.9185185185187,283.15,305.92777777777775,1980
498,1989,7,297.64895459976157,286.4833333333333,308.15,1980
499,1989,8,295.9300179211479,282.59444444444443,304.81666666666666,1980
500,1989,9,291.9655864197537,277.59444444444443,303.7055555555555,1980
501,1989,10,286.1697132616497,272.59444444444443,302.0388888888889,1980
502,1989,11,279.7449074074076,265.92777777777775,295.3722222222222,1980
503,1989,12,267.61474214403887,244.2611111111111,284.81666666666666,1980
504,1990,1,277.41224611708526,264.26111111111106,290.3722222222222,1990
505,1990,2,278.1384259259259,260.3722222222222,293.15,1990
506,1990,3,281.98064516129085,266.4833333333333,299.26111111111106,1990
507,1990,4,285.04429012345724,268.15,303.15,1990
508,1990,5,289.3678912783751,277.0388888888889,299.26111111111106,1990
509,1990,6,295.37299382716066,279.81666666666666,304.81666666666666,1990
510,1990,7,296.86167937789793,286.4833333333333,308.7055555555555,1990
511,1990,8,296.00618279569943,284.26111111111106,306.4833333333333,1990
512,1990,9,292.6754629629632,276.4833333333333,305.92777777777775,1990
513,1990,10,286.1308841099172,272.59444444444443,299.81666666666666,1990
514,1990,11,282.3089506172844,268.15,297.0388888888889,1990
515,1990,12,276.5720417982264,258.7055555555555,290.3722222222222,1990
516,1991,1,272.63028673835186,256.4833333333333,283.7055555555555,1990
517,1991,2,276.01954365079393,257.0388888888889,290.3722222222222,1990
518,1991,3,280.6059438470734,267.59444444444443,296.4833333333333,1990
519,1991,4,287.00108024691406,273.15,298.7055555555555,1990
520,1991,5,294.0542712066907,277.0388888888889,304.26111111111106,1990
521,1991,6,297.0234567901238,285.3722222222222,307.0388888888889,1990
522,1991,7,298.4449522102753,287.59444444444443,308.7055555555555,1990
523,1991,8,296.58876177658186,287.0388888888889,309.81666666666666,1990
524,1991,9,293.2094135802475,277.0388888888889,307.0388888888889,1990
525,1991,10,287.54590800477933,273.7055555555555,300.92777777777775,1990
526,1991,11,278.51728395061787,263.7055555555555,293.15,1990
527,1991,12,276.0615922417683,261.4833333333333,289.81666666666666,1990
528,1992,1,273.7033154121873,253.70555555555552,285.92777777777775,1990
529,1992,2,277.1913473818652,265.92777777777775,292.0388888888889,1990
530,1992,3,279.4530167264043,264.26111111111106,298.7055555555555,1990
531,1992,4,285.08827160493894,268.7055555555555,299.26111111111106,1990
532,1992,5,289.13790322580644,275.92777777777775,302.0388888888889,1990
533,1992,6,293.08904320987665,279.81666666666666,303.7055555555555,1990
534,1992,7,295.850762673845,285.92777777777775,304.81666666666666,1990
535,1992,8,293.70107526881714,282.0388888888889,303.7055555555555,1990
536,1992,9,291.16620370370396,275.92777777777775,302.59444444444443,1990
537,1992,10,284.83682795698974,269.26111111111106,300.3722222222222,1990
538,1992,11,279.80046296296274,267.59444444444443,293.15,1990
539,1992,12,275.14969929333955,260.92777777777775,288.7055555555555,1990
540,1993,1,274.5190743233144,263.15,290.3722222222222,1990
541,1993,2,271.7991402116406,254.2611111111111,290.92777777777775,1990
542,1993,3,277.44435483870996,260.92777777777775,293.7055555555555,1990
543,1993,4,284.26265432098825,273.15,297.0388888888889,1990
544,1993,5,290.7911290322583,278.7055555555555,303.7055555555555,1990
545,1993,6,294.703855663731,278.7055555555555,304.81666666666666,1990
546,1993,7,298.9011947431312,283.7055555555555,309.81666666666666,1990
547,1993,8,297.28007765830415,285.3722222222222,306.4833333333333,1990
548,1993,9,290.8421296296302,272.59444444444443,303.7055555555555,1990
549,1993,10,284.91536563481424,272.59444444444443,299.81666666666666,1990
550,1993,11,279.5574074074075,267.59444444444443,292.59444444444443,1990
551,1993,12,273.9527180406216,257.0388888888889,287.0388888888889,1990
552,1994,1,268.55023894862654,243.14999999999998,283.7055555555555,1990
553,1994,2,273.5112764550272,257.0388888888889,293.7055555555555,1990
554,1994,3,278.67494026284385,264.26111111111106,296.4833333333333,1990
555,1994,4,286.2533950617287,270.92777777777775,301.4833333333333,1990
556,1994,5,288.73019713261675,272.59444444444443,303.7055555555555,1990
557,1994,6,296.56987328079157,283.15,308.7055555555555,1990
558,1994,7,296.9537634408611,286.4833333333333,308.15,1990
559,1994,8,295.24752090800564,283.7055555555555,304.81666666666666,1990
560,1994,9,291.71635802469183,280.3722222222222,304.26111111111106,1990
561,1994,10,287.05755675029906,272.0388888888889,302.59444444444443,1990
562,1994,11,282.9177469135802,267.59444444444443,295.3722222222222,1990
563,1994,12,277.32861409796914,267.0388888888889,287.59444444444443,1990
564,1995,1,272.81173835125463,256.4833333333333,291.4833333333333,1990
565,1995,2,272.83088624338643,253.14999999999998,290.92777777777775,1990
566,1995,3,280.85385304659553,265.92777777777775,297.0388888888889,1990
567,1995,4,285.12608024691394,267.59444444444443,299.81666666666666,1990
568,1995,5,290.0668160095584,278.15,301.4833333333333,1990
569,1995,6,295.4332637923045,283.7055555555555,305.3722222222222,1990
570,1995,7,297.6579151732385,285.3722222222222,308.7055555555555,1990
571,1995,8,298.96317204301124,288.7055555555555,308.15,1990
572,1995,9,291.82706393544413,277.0388888888889,305.3722222222222,1990
573,1995,10,286.42139848879,272.0388888888889,298.7055555555555,1990
574,1995,11,277.1943640262704,263.7055555555555,294.26111111111106,1990
575,1995,12,271.9948902968443,256.4833333333333,291.4833333333333,1990
576,1996,1,271.01734911494987,254.81666666666663,292.59444444444443,1990
577,1996,2,274.272761834683,249.2611111111111,294.81666666666666,1990
578,1996,3,275.9397068847993,259.81666666666666,293.15,1990
579,1996,4,282.8960658082979,266.4833333333333,299.26111111111106,1990
580,1996,5,289.9362235384448,273.15,303.7055555555555,1990
581,1996,6,294.459211348582,283.15,305.3722222222222,1990
582,1996,7,295.37414900449613,285.3722222222222,304.26111111111106,1990
583,1996,8,296.20218446602007,286.4833333333333,305.92777777777775,1990
584,1996,9,291.28803564656863,279.26111111111106,303.7055555555555,1990
585,1996,10,286.2542446941332,272.59444444444443,298.7055555555555,1990
586,1996,11,276.9759381493714,264.81666666666666,295.92777777777775,1990
587,1996,12,276.6771720318456,260.3722222222222,291.4833333333333,1990
588,1997,1,271.4559918557307,254.2611111111111,292.0388888888889,1990
589,1997,2,276.40377396980847,265.92777777777775,293.15,1990
590,1997,3,280.5032494758912,264.26111111111106,295.92777777777775,1990
591,1997,4,282.70527318932733,263.7055555555555,298.15,1990
592,1997,5,287.48900604266936,273.7055555555555,301.4833333333333,1990
593,1997,6,293.2288530465955,282.59444444444443,304.81666666666666,1990
594,1997,7,296.98221299591444,284.26111111111106,309.26111111111106,1990
595,1997,8,294.9856686332356,282.0388888888889,305.92777777777775,1990
596,1997,9,291.861248285323,278.15,304.26111111111106,1990
597,1997,10,286.21384742951955,268.15,302.0388888888889,1990
598,1997,11,278.49367511666094,264.81666666666666,292.0388888888889,1990
599,1997,12,275.0343537414973,265.92777777777775,288.15,1990
600,1998,1,277.26674888419086,260.3722222222222,290.92777777777775,1990
601,1998,2,277.7281653746771,266.4833333333333,293.15,1990
602,1998,3,278.79907038512647,259.26111111111106,299.81666666666666,1990
603,1998,4,285.09596902061287,272.0388888888889,295.3722222222222,1990
604,1998,5,292.0793598234,279.26111111111106,303.7055555555555,1990
605,1998,6,294.16508916323716,278.15,306.4833333333333,1990
606,1998,7,296.50326357747923,287.59444444444443,305.92777777777775,1990
607,1998,8,296.7988259215532,286.4833333333333,305.92777777777775,1990
608,1998,9,294.98457439042295,279.81666666666666,307.59444444444443,1990
609,1998,10,286.5893358876122,271.4833333333333,301.4833333333333,1990
610,1998,11,281.25392482034334,268.15,293.7055555555555,1990
611,1998,12,277.2015052593403,260.3722222222222,295.3722222222222,1990
