,Year,Month,AvgDryBulbTemp_NewYork,MinDryBulbTemp_NewYork,MaxDryBulbTemp_NewYork,DECADE
519,1991,4,285.9787037037043,276.4833333333333,304.81666666666666,1990
520,1991,5,293.4456989247322,283.15,307.0388888888889,1990
521,1991,6,296.7904320987663,285.92777777777775,308.7055555555555,1990
522,1991,7,298.7070509944674,292.0388888888889,311.4833333333333,1990
523,1991,8,298.79740143369213,291.4833333333333,307.0388888888889,1990
524,1991,9,293.5959876543211,280.92777777777775,308.15,1990
525,1991,10,288.2396057347672,276.4833333333333,299.81666666666666,1990
526,1991,11,282.3567901234568,273.15,295.92777777777775,1990
527,1991,12,277.95754773718335,263.7055555555555,292.0388888888889,1990
528,1992,1,275.25274790919997,262.0388888888889,288.7055555555555,1990
529,1992,2,275.4568326947637,264.26111111111106,289.26111111111106,1990
530,1992,3,277.59220430107575,265.92777777777775,290.3722222222222,1990
531,1992,4,282.696296296297,273.7055555555555,299.81666666666666,1990
532,1992,5,289.13491636798136,279.26111111111106,307.0388888888889,1990
533,1992,6,294.50185185185194,285.3722222222222,303.7055555555555,1990
534,1992,7,297.12774790919997,288.15,308.15,1990
535,1992,8,296.24811827957046,288.15,306.4833333333333,1990
536,1992,9,293.22330246913623,280.92777777777775,303.7055555555555,1990
537,1992,10,286.28097371565156,275.3722222222222,299.26111111111106,1990
538,1992,11,281.1052469135805,272.59444444444443,293.7055555555555,1990
539,1992,12,276.4870921665917,265.3722222222222,289.26111111111106,1990
540,1993,1,275.6081839904422,267.59444444444443,290.3722222222222,1990
541,1993,2,272.00742672627973,258.7055555555555,285.3722222222222,1990
542,1993,3,276.3801480484528,263.15,290.3722222222222,1990
543,1993,4,283.95126719208815,275.92777777777775,297.0388888888889,1990
544,1993,5,291.0957885304663,283.15,305.3722222222222,1990
545,1993,6,295.63261474269865,285.3722222222222,305.92777777777775,1990
546,1993,7,299.51907432331427,291.4833333333333,310.3722222222222,1990
547,1993,8,297.9690518917307,289.81666666666666,308.15,1990
548,1993,9,293.2404033379702,282.0388888888889,308.15,1990
549,1993,10,286.801433691757,277.59444444444443,299.26111111111106,1990
550,1993,11,282.47236130428104,270.3722222222222,299.26111111111106,1990
551,1993,12,276.37281959378754,261.4833333333333,287.59444444444443,1990
552,1994,1,269.93688769414615,253.70555555555552,285.92777777777775,1990
553,1994,2,272.11577380952394,259.26111111111106,289.26111111111106,1990
554,1994,3,277.8087514934291,267.59444444444443,294.26111111111106,1990
555,1994,4,285.8621913580255,275.3722222222222,300.3722222222222,1990
556,1994,5,289.5866786140981,281.4833333333333,304.81666666666666,1990
557,1994,6,296.8081790123463,286.4833333333333,308.7055555555555,1990
558,1994,7,299.66359020310716,292.59444444444443,309.81666666666666,1990
559,1994,8,296.9448028673837,287.0388888888889,307.0388888888889,1990
560,1994,9,293.51496913580286,285.92777777777775,304.81666666666666,1990
561,1994,10,287.68330346475557,279.81666666666666,297.59444444444443,1990
562,1994,11,284.3367283950621,269.81666666666666,295.92777777777775,1990
563,1994,12,278.91090203106364,266.4833333333333,290.92777777777775,1990
564,1995,1,276.41388888888906,264.26111111111106,290.92777777777775,1990
565,1995,2,273.2128306878314,258.15,285.3722222222222,1990
566,1995,3,279.9809438470733,267.59444444444443,295.3722222222222,1990
567,1995,4,283.7566233364286,269.26111111111106,296.4833333333333,1990
568,1995,5,289.7113799283156,280.92777777777775,304.81666666666666,1990
569,1995,6,295.28580246913623,285.92777777777775,307.59444444444443,1990
570,1995,7,299.46123058542446,290.3722222222222,312.59444444444443,1990
571,1995,8,298.7384109916372,289.81666666666666,308.15,1990
572,1995,9,293.3297839506175,284.26111111111106,304.81666666666666,1990
573,1995,10,290.3431003584236,280.92777777777775,303.15,1990
574,1995,11,280.44012345679073,270.3722222222222,295.3722222222222,1990
575,1995,12,274.16939557961257,264.81666666666666,286.4833333333333,1990
576,1996,1,273.1791218637993,259.81666666666666,287.59444444444443,1990
577,1996,2,274.79591315453445,260.3722222222222,290.3722222222222,1990
578,1996,3,277.36669653524507,263.15,290.92777777777775,1990
579,1996,4,284.25102420856643,274.26111111111106,299.81666666666666,1990
580,1996,5,288.2756913021621,278.7055555555555,309.26111111111106,1990
581,1996,6,294.3597378277158,285.3722222222222,304.26111111111106,1990
582,1996,7,296.15649987736157,290.92777777777775,305.3722222222222,1990
583,1996,8,296.64980182322694,290.3722222222222,305.92777777777775,1990
584,1996,9,293.7434497225615,285.3722222222222,304.81666666666666,1990
585,1996,10,287.64601210121066,278.15,297.59444444444443,1990
586,1996,11,280.17767242590304,268.7055555555555,293.15,1990
587,1996,12,278.7981481481488,267.59444444444443,287.59444444444443,1990
588,1997,1,273.9078676942847,258.15,288.7055555555555,1990
589,1997,2,277.86187943262416,266.4833333333333,295.3722222222222,1990
590,1997,3,278.5723744292239,269.81666666666666,293.7055555555555,1990
591,1997,4,284.2082010582014,272.0388888888889,298.7055555555555,1990
592,1997,5,288.41573041443024,279.81666666666666,302.0388888888889,1990
593,1997,6,295.1097382273444,283.7055555555555,308.7055555555555,1990
594,1997,7,297.9549502286799,288.15,309.81666666666666,1990
595,1997,8,296.59073190135314,289.81666666666666,308.7055555555555,1990
596,1997,9,293.5558464594871,284.26111111111106,302.59444444444443,1990
597,1997,10,287.6345150774251,278.15,303.15,1990
598,1997,11,280.7477107761031,271.4833333333333,290.92777777777775,1990
599,1997,12,277.17809706258026,268.15,285.3722222222222,1990
600,1998,1,277.9519926850806,264.26111111111106,289.81666666666666,1990
601,1998,2,277.99126984127025,265.3722222222222,287.59444444444443,1990
602,1998,3,280.0809344932128,266.4833333333333,300.92777777777775,1990
603,1998,4,284.7055555555561,276.4833333333333,295.3722222222222,1990
604,1998,5,290.1908782144591,280.92777777777775,303.15,1990
605,1998,6,293.9758609486686,284.81666666666666,307.0388888888889,1990
606,1998,7,298.3249781277342,290.92777777777775,307.59444444444443,1990
607,1998,8,298.1001774501776,289.26111111111106,306.4833333333333,1990
608,1998,9,294.9443805874848,285.3722222222222,305.92777777777775,1990
609,1998,10,288.2001882057725,279.26111111111106,297.0388888888889,1990
610,1998,11,282.6266505636076,275.92777777777775,290.3722222222222,1990
611,1998,12,279.5042550183774,265.3722222222222,296.4833333333333,1990
612,1999,1,274.49129650367144,261.4833333333333,287.0388888888889,1990
